username,course,day,start,end
isilaltnsk,Dalgalar Fiziği,Pazartesi,08:30,10:30
isilaltnsk,Deep Learning,Pazartesi,14:30,17:30
isilaltnsk,Economics,Salı,08:30,11:30
isilaltnsk,Data Mining,Salı,13:30,16:30
isilaltnsk,Dalgalar,Çarşamba,08:30,11:30
isilaltnsk,Elektronik I,Çarşamba,11:30,14:30
isilaltnsk,Electronics Lab.,Perşembe,11:30,13:30
isilaltnsk,Dalgalar Lab.,Perşembe,13:30,15:30
isilaltnsk,Analysis of Algorithms I,Cuma,09:30,12:30
melike,Fiziksel metalurji,Pazartesi,08:30,11:30
melike,kimyasal metalurji 1,Pazartesi,15:30,17:30
melike,transport phenomena,Salı,10:30,13:30
